Current configuration:
[NAME]		[DEFLT]	[VALUE]
-allphones	no	no
-example	no	no
-help		no	no
-imoddeffn		/home/ilya/Рабочий стол/lab_sphinx/ru_base/model_architecture/ru_base.alltriphones.mdef
-omoddeffn		/home/ilya/Рабочий стол/lab_sphinx/ru_base/model_architecture/ru_base.2000.mdef
-psetfn			/home/ilya/Рабочий стол/lab_sphinx/ru_base/model_architecture/ru_base.tree_questions
-treedir		/home/ilya/Рабочий стол/lab_sphinx/ru_base/trees/ru_base.2000

INFO: model_def_io.c(573): Model definition info:
INFO: main.c(124): sch-2: offset 1657
INFO: main.c(124): sh-0: offset 1660
INFO: main.c(124): sh-1: offset 1667
INFO: main.c(124): sh-2: offset 1675
INFO: main.c(124): sj-0: offset 1682
INFO: main.c(124): sj-1: offset 1692
INFO: main.c(124): sj-2: offset 1703
INFO: main.c(124): t-0: offset 1712
INFO: main.c(124): t-1: offset 1731
INFO: main.c(124): t-2: offset 1746
INFO: main.c(124): tj-0: offset 1762
INFO: main.c(124): tj-1: offset 1769
INFO: main.c(124): tj-2: offset 1776
INFO: main.c(124): u0-0: offset 1786
INFO: main.c(124): u0-1: offset 1822
INFO: main.c(124): u0-2: offset 1865
INFO: main.c(124): v-0: offset 1911
INFO: main.c(124): v-1: offset 1934
INFO: main.c(124): v-2: offset 1964
INFO: main.c(124): vj-0: offset 1988
INFO: main.c(124): vj-1: offset 1997
INFO: main.c(124): vj-2: offset 2007
INFO: main.c(124): y0-0: offset 2019
INFO: main.c(124): y0-1: offset 2032
INFO: main.c(124): y0-2: offset 2050
INFO: main.c(124): z-0: offset 2073
INFO: main.c(124): z-1: offset 2082
INFO: main.c(124): z-2: offset 2093
INFO: main.c(124): zh-0: offset 2104
INFO: main.c(124): zh-1: offset 2111
INFO: main.c(124): zh-2: offset 2116
INFO: main.c(124): zj-0: offset 2122
INFO: main.c(124): zj-1: offset 2125
INFO: main.c(124): zj-2: offset 2127
INFO: main.c(145): n_seno= 2129
Mon Mar 20 21:40:49 2017
